segment,segment_definition,n_obs,price_elasticity_coef,std_err,p_value,r_squared,uber_market_share,uber_revenue_share,total_uber_trips,total_lyft_trips,total_rideshare_trips,total_trips,total_uber_revenue,total_lyft_revenue,total_market_revenue,uber_share_among_hvfhv_logit,uber_share_logit,avg_uber_fare_per_mile,avg_uber_take_rate,avg_uber_wait_time,avg_lyft_fare_per_mile,avg_lyft_take_rate,avg_lyft_wait_time,log_rel_fare_per_mile,opportunity_score,significant_10pct,significant_5pct
Brooklyn | low_rain | Evening | 0,"['PU_Borough', 'rain_bucket', 'PU_time_zone', 'PU_weekday']",99,-1.3297038826896106,0.3734384480261521,0.00036986143108796977,0.19648836841030082,0.7115118585309755,0.6951429060790697,17076000,6923600,23999600,26235696.0,85577555.29467237,37530304.321373634,123107859.61604601,0.9021633282771913,0.616836008832788,7.1822589825368635,0.16217133132059317,5.5822528112118865,7.393981536149069,0.19282687054314704,5.344698524618029,-0.032040100327699474,24.77048377890987,True,True
Brooklyn | high_rain | Evening | 0,"['PU_Borough', 'rain_bucket', 'PU_time_zone', 'PU_weekday']",118,1.2051769158638395,0.4666722425041961,0.009808989033924428,0.21686399833020154,0.7225374287072244,0.6673150750987428,19458800,7472400,26931200,29337080.0,81420834.08010478,40591746.06137775,122012580.14148253,0.9828173840658564,0.6928360927061272,6.8289476791912485,0.14837821002875845,5.251091520538296,7.061207071087657,0.20480790823122877,5.157697637263802,-0.05148908638263915,22.439953948157925,True,True
Queens | no_rain | Evening | 0,"['PU_Borough', 'rain_bucket', 'PU_time_zone', 'PU_weekday']",324,-0.9129173817675044,0.0975094057834861,7.798109362881034e-21,0.27074751479779624,0.7217040278935063,0.6691329826117908,35684800,13760400,49445200,57039918.0,203543984.77954507,100646647.08119921,304190631.8607443,0.963966996163735,0.5169520295857309,5.537747706012849,0.14394003437895672,6.077590619701664,5.606892130088619,0.18925904046280256,5.878393723445762,-0.03944836532257038,17.832165981454782,True,True
Brooklyn | low_rain | Afternoon | 0,"['PU_Borough', 'rain_bucket', 'PU_time_zone', 'PU_weekday']",113,-0.9142210283920891,0.2438986666606755,0.00017799167349758958,0.40000842104342005,0.7112602482602306,0.6932682865528766,16066800,6522400,22589200,27053220.0,80904404.59076072,35795588.99042558,116699993.5811863,0.9072328670230805,0.3790398260638274,7.220712080365568,0.16793730622657174,4.8515622764795285,7.359329066889784,0.19817228967870554,4.895561166813497,-0.023333290756607034,16.9817626127069,True,True
Manhattan | high_rain | Morning | 0,"['PU_Borough', 'rain_bucket', 'PU_time_zone', 'PU_weekday']",168,-0.8670085265214101,0.16740333050123293,2.228880045447971e-07,0.29180870967477957,0.7243673664269102,0.7950562905022274,18812400,7158400,25970800,39052028.0,222676372.05129844,57399862.43850915,280076234.4898076,0.9538516376149279,-0.02957227997706816,7.485814329668921,0.27767492887187867,3.9474919640866726,6.414604765774426,0.23490203558047845,4.125865236076474,0.10345078141299557,16.863812111043675,True,True
Queens | low_rain | Afternoon | 0,"['PU_Borough', 'rain_bucket', 'PU_time_zone', 'PU_weekday']",132,-0.8665728308884186,0.19089351149821415,5.637134345889254e-06,0.49797096714268374,0.7332955167827243,0.6993193136330038,14995600,5454000,20449600,24848931.0,92804269.70258668,39902303.52283047,132706573.22541715,1.0190473316042492,0.4190944787444287,6.081244743201555,0.163831706595767,4.849650813412816,6.2223539813104445,0.19824743717618395,4.747791233575562,-0.043524866104885124,16.208075829760315,True,True
Manhattan | low_rain | Morning | 0,"['PU_Borough', 'rain_bucket', 'PU_time_zone', 'PU_weekday']",132,-0.8125567535237872,0.17363427180586413,2.872913401553337e-06,0.366973897111293,0.7097295356629967,0.78947737243583,14233200,5821200,20054400,30287370.0,176356792.79359856,47027434.48257093,223384227.27616948,0.878177227796972,-0.07942324172162496,7.3753823765541835,0.2830860011259502,3.947169329693469,6.365977905974408,0.23703040140498344,4.133183438036389,0.10876752756345817,15.62091917552281,True,True
Brooklyn | low_rain | Morning | 0,"['PU_Borough', 'rain_bucket', 'PU_time_zone', 'PU_weekday']",105,-0.8493210051608552,0.27215654302957704,0.0018041705010443116,0.27235642581220476,0.7071340206185567,0.7143837012263704,10288800,4261200,14550000,17633052.0,60751962.8226429,24289119.04743762,85041081.87008052,0.8787090848275736,0.33308739060738957,6.539159527962083,0.19564340132408486,4.694762726745387,6.46111226090445,0.20163025913442967,4.750371431605848,0.0210448871311723,15.50745074599456,True,True
Manhattan | no_rain | Evening | 1,"['PU_Borough', 'rain_bucket', 'PU_time_zone', 'PU_weekday']",954,-0.6899960239164838,0.08953941480335353,1.2976253413984375e-14,0.09031505038155452,0.7249565011983776,0.8202574829060747,201326800,76382000,277708800,426304451.0,3078772371.5313854,674649493.7878568,3753421865.3192425,0.9785000303118396,-0.09885688774158156,9.724863472122635,0.2910379697245508,4.432294476436472,7.687778685374723,0.2410931858383304,4.640674848178991,0.15920838285936156,15.211606636919432,True,True
Queens | high_rain | Morning | 1,"['PU_Borough', 'rain_bucket', 'PU_time_zone', 'PU_weekday']",306,-0.7419025112631085,0.19528823247962504,0.00014527354112970663,0.1392340414268608,0.7158835070841508,0.729546673630127,31670400,12569200,44239600,57435433.0,231348952.72941494,85764346.65450712,317113299.38392204,0.9205478316045012,0.19784335266589145,6.5584380709905234,0.20290740995414383,4.738374277062742,6.40678061651005,0.20564805602608963,4.707760029944806,0.014965477322017787,14.522570784802568,True,True
Brooklyn | low_rain | Afternoon | 1,"['PU_Borough', 'rain_bucket', 'PU_time_zone', 'PU_weekday']",288,-0.7240185889878883,0.16891472970656157,1.816765965850882e-05,0.14996387357302332,0.7256912352834475,0.7098039873661057,33605600,12702800,46308400,60667004.0,189794097.7824241,77595352.20742401,267389449.9898481,0.9763465706247416,0.21284065322316353,7.8762899666180495,0.1905809716499455,4.528359224622826,7.943542509949369,0.2132671083814219,4.6585595440710295,-0.018722375585782096,14.049013647355782,True,True
Manhattan | low_rain | Evening | 1,"['PU_Borough', 'rain_bucket', 'PU_time_zone', 'PU_weekday']",306,-0.6152941641172688,0.14783424032513476,3.153970586206641e-05,0.07801228984874597,0.7198879424224479,0.8240015170789702,63214800,24597200,87812000,136340566.0,1051993337.6322794,224695255.56537014,1276688593.1976495,0.9469882627244359,-0.1323922602610671,9.89389004604328,0.30122085676932914,4.456288958095322,7.721928422564762,0.2436310206133864,4.741530810934147,0.17839725063907222,12.901202245644665,True,True
Queens | low_rain | Morning | 0,"['PU_Borough', 'rain_bucket', 'PU_time_zone', 'PU_weekday']",132,-0.6992574532609118,0.19277395068899814,0.00028635156278022407,0.3062184946371196,0.7134513791181077,0.7162738009906506,10750000,4317600,15067600,18183941.0,70780602.69636261,28037199.37662776,98817802.07299037,0.9150180805870846,0.3680319920745603,5.519197071637424,0.1900078895444046,4.592969240880474,5.48709271439813,0.2034537483286561,4.639945989057891,-0.017339755146806985,12.872482451920133,True,True
Queens | high_rain | Morning | 0,"['PU_Borough', 'rain_bucket', 'PU_time_zone', 'PU_weekday']",168,-0.6748500793017983,0.1697322203884059,7.009319965867187e-05,0.1054269053511373,0.7253348142768652,0.7107256316112041,13583200,5143600,18726800,22565856.0,84322553.63025978,34320351.42313171,118642905.05339149,0.9759336089569014,0.41154541948790946,5.5199240366358815,0.18534854269948023,4.666084899562894,5.55479869272203,0.20836018387463615,4.620953613572812,-0.02540820776519907,12.546562136430408,True,True
Queens | high_rain | Late Night | 1,"['PU_Borough', 'rain_bucket', 'PU_time_zone', 'PU_weekday']",257,-0.6326236519292175,0.13678113105393228,3.744541320751641e-06,0.1153155594434675,0.691257320425481,0.6942319772465099,9254000,4133200,13387200,15859668.0,72244154.49580532,31819266.469536737,104063420.96534206,0.832562422539597,0.41083634393690527,5.409386318287561,0.20332582907338306,6.096180832147456,5.144227183831399,0.21360398328402622,6.103780242393051,0.033585861724253784,11.67855594718704,True,True
Queens | no_rain | Evening | 1,"['PU_Borough', 'rain_bucket', 'PU_time_zone', 'PU_weekday']",954,-0.5599208779328669,0.0667538235386869,4.9512478330215564e-17,0.12057853424607679,0.7370522346678496,0.6934435536084931,95702400,34142400,129844800,153440501.0,659172072.9501982,291405763.5875339,950577836.5377321,1.0426163612360035,0.5094954274771967,5.706178224436257,0.1751029659262323,5.5329519010909936,5.855547095411992,0.22077347304389083,4.976923748304719,-0.03774954973030524,11.575009482995466,True,True
Brooklyn | no_rain | Afternoon | 0,"['PU_Borough', 'rain_bucket', 'PU_time_zone', 'PU_weekday']",301,-0.5929691116212775,0.15455079145253114,0.00012468521699339323,0.21417521549514462,0.7210850818602197,0.6798647999004214,41542000,16068400,57610400,69134984.0,196725657.26086992,92634311.50010136,289359968.7609713,0.9555862773032393,0.40764926317902855,7.048648163990119,0.16125435452471465,4.695114083058981,7.288567068406406,0.20723576442797226,4.761747688967668,-0.03887634715222317,11.552925146469644,True,True
Queens | low_rain | Late Night | 1,"['PU_Borough', 'rain_bucket', 'PU_time_zone', 'PU_weekday']",259,-0.6156488139806664,0.2268363000159642,0.00664628131637995,0.0641818940498392,0.6983854751907268,0.6988489021108603,9447200,4080000,13527200,15902144.0,72492915.9393512,31238971.912783474,103731887.85213467,0.8525758317096678,0.4357478459912899,5.3368963367302795,0.2040971426210442,5.902311038560468,5.222732436171797,0.21494380223433351,5.868668418409035,0.01460883445827244,11.36322725133227,True,True
Queens | low_rain | Evening | 0,"['PU_Borough', 'rain_bucket', 'PU_time_zone', 'PU_weekday']",132,-0.60409620221301,0.17859604333977666,0.0007183647418724913,0.18231671317535125,0.7323263780753659,0.6889822701425615,15049600,5500800,20550400,23584556.0,87321794.1615572,39418468.898461625,126740263.06001882,1.0156110743406948,0.5678056327808163,5.770528535638718,0.15132638075415414,6.108697129754674,5.8130470674541215,0.18730733445378123,5.9685490706463575,-0.03686813092847316,11.271015739999344,True,True
Brooklyn | low_rain | Evening | 1,"['PU_Borough', 'rain_bucket', 'PU_time_zone', 'PU_weekday']",234,-0.5858727810504535,0.3364401619049954,0.08161563166434779,0.10133612029535921,0.710235770421529,0.6859137276507011,29822800,12167200,41990000,48148277.0,153635187.55144495,70350980.61821015,223986168.16965508,0.9052096951197749,0.5019121118684391,6.925818428088281,0.19003632905829282,4.241102584737677,7.095831156418436,0.2275226714149702,4.276091071833438,-0.02990963050005879,11.264631538985617,True,False
Queens | high_rain | Evening | 1,"['PU_Borough', 'rain_bucket', 'PU_time_zone', 'PU_weekday']",306,-0.5761145186197607,0.11443059252609299,4.7879834794142e-07,0.1474335564620839,0.7293880385460565,0.6898482349692203,30669600,11378800,42048400,49548724.0,211911886.4173395,95274354.95471331,307186241.3720528,0.996353771750833,0.48733445292910904,5.878162104682713,0.17750722361580748,5.589044553080802,5.947762776541226,0.2183866641575157,5.13532296138957,-0.02600630925247397,11.25898574334292,True,True
Brooklyn | no_rain | Evening | 0,"['PU_Borough', 'rain_bucket', 'PU_time_zone', 'PU_weekday']",256,-0.5193304809175988,0.21029808401633898,0.013530316506008834,0.11132733389236882,0.7069394605857159,0.6764354364682846,39086400,16203200,55289600,60726091.0,175250649.29783237,83828990.60516843,259079639.9030008,0.8876249194704914,0.5925747994465553,6.68035572065616,0.1535308599123923,5.109751559394036,6.865364062241584,0.1948562004184985,5.135273223123755,-0.042034451964069686,10.060805598222304,True,True
Queens | high_rain | Late Night | 0,"['PU_Borough', 'rain_bucket', 'PU_time_zone', 'PU_weekday']",151,-0.5214293882134508,0.19857323953125214,0.008642542080634256,0.08203208133640505,0.7113269853483377,0.7085731371305497,8874800,3601600,12476400,13234601.0,56905405.679064706,23404449.00934452,80309854.68840922,0.8892578972426325,0.6998680581782891,5.678332127848987,0.19526556297742334,5.685638984042031,5.497748650876191,0.20193890536854608,5.636829055219607,0.01527512370831774,9.490746382544117,True,True
